route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5242_118188,91,5242_3217,Saggart,335.MF-BH.93-RED-y11,0,5242_7778148_Txc110160,5242_24
5242_119680,93,5242_322,Sandyford,167.Sat.93-GRN-y11-1,0,5242_7778148_Txc104900,5242_4
5242_118188,91,5242_3222,Saggart,337.MF-BH.93-RED-y11,0,5242_7778148_Txc110168,5242_25
5242_118188,94,5242_3223,Tallaght,256.SuBH.93-RED-y11-,0,5242_7778148_Txc109810,5242_19
5242_118188,94,5242_3228,Saggart,249.SuBH.93-RED-y11-,0,5242_7778148_Txc109778,5242_22
5242_119680,92,5242_323,Sandyford,167.gf.93-GRN-y11-16,0,5242_7778148_Txc104901,5242_4
5242_118188,93,5242_3233,Tallaght,250.Sat.93-RED-y11-1,0,5242_7778148_Txc109785,5242_26
5242_118188,92,5242_3234,Tallaght,250.gf.93-RED-y11-16,0,5242_7778148_Txc109787,5242_26
5242_118188,93,5242_3235,Saggart,251.Sat.93-RED-y11-1,0,5242_7778148_Txc109789,5242_25
5242_118188,92,5242_3236,Saggart,251.gf.93-RED-y11-16,0,5242_7778148_Txc109791,5242_25
5242_118188,91,5242_3243,Saggart,339.MF-BH.93-RED-y11,0,5242_7778148_Txc110176,5242_25
5242_118188,94,5242_3244,Tallaght,258.SuBH.93-RED-y11-,0,5242_7778148_Txc109818,5242_19
5242_118188,91,5242_3245,Tallaght,338.MF-BH.93-RED-y11,0,5242_7778148_Txc110172,5242_26
5242_118188,93,5242_3250,Tallaght,252.Sat.93-RED-y11-1,0,5242_7778148_Txc109793,5242_19
5242_118188,92,5242_3251,Tallaght,252.gf.93-RED-y11-16,0,5242_7778148_Txc109795,5242_19
5242_118188,91,5242_3252,Tallaght,340.MF-BH.93-RED-y11,0,5242_7778148_Txc110184,5242_36
5242_118188,94,5242_3256,Saggart,251.SuBH.93-RED-y11-,0,5242_7778148_Txc109790,5242_22
5242_118188,94,5242_3261,Tallaght,260.SuBH.93-RED-y11-,0,5242_7778148_Txc109830,5242_19
5242_118188,91,5242_3266,Tallaght,342.MF-BH.93-RED-y11,0,5242_7778148_Txc110192,5242_19
5242_118188,91,5242_3267,Saggart,341.MF-BH.93-RED-y11,0,5242_7778148_Txc110188,5242_24
5242_118188,93,5242_3268,Saggart,253.Sat.93-RED-y11-1,0,5242_7778148_Txc109797,5242_24
5242_118188,92,5242_3269,Saggart,253.gf.93-RED-y11-16,0,5242_7778148_Txc109799,5242_24
5242_119680,91,5242_327,Brides Glen,261.MF-BH.93-GRN-y11,0,5242_7778148_Txc105225,5242_5
5242_118188,94,5242_3273,Saggart,253.SuBH.93-RED-y11-,0,5242_7778148_Txc109798,5242_22
5242_118188,93,5242_3274,Tallaght,254.Sat.93-RED-y11-1,0,5242_7778148_Txc109801,5242_19
5242_118188,92,5242_3275,Tallaght,254.gf.93-RED-y11-16,0,5242_7778148_Txc109803,5242_19
5242_119680,94,5242_328,Brides Glen,100.SuBH.93-GRN-y11-,0,5242_7778148_Txc104618,5242_1
5242_118188,91,5242_3283,Saggart,343.MF-BH.93-RED-y11,0,5242_7778148_Txc110196,5242_25
5242_118188,94,5242_3284,Tallaght,262.SuBH.93-RED-y11-,0,5242_7778148_Txc109838,5242_19
5242_118188,93,5242_3289,Saggart,255.Sat.93-RED-y11-1,0,5242_7778148_Txc109805,5242_25
5242_118188,92,5242_3290,Saggart,255.gf.93-RED-y11-16,0,5242_7778148_Txc109807,5242_25
5242_119680,91,5242_1247,Broombridge,2.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc105010,5242_12
5242_119680,91,5242_1248,Broombridge,3.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc105298,5242_13
5242_119680,91,5242_1249,Broombridge,1.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc104608,5242_11
5242_119680,91,5242_1250,Broombridge,5.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc105470,5242_13
5242_119680,91,5242_1251,Parnell,4.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc105426,5242_15
5242_119680,91,5242_1252,Broombridge,7.MF-BH.93-GRN-y11-1,1,5242_7778148_Txc105558,5242_13
